Reference period,Value
2020-01-01,100.0
2020-02-01,99.3
2020-03-01,99.9
2020-04-01,100.4
2020-05-01,99.7
2020-06-01,99.5
2020-07-01,99.3
2020-08-01,99.3
2020-09-01,99.2
2020-10-01,99.9
2020-11-01,99.7
2020-12-01,100.7
2021-01-01,102.8
2021-02-01,107.4
2021-03-01,108.2
2021-04-01,111.8
2021-05-01,115.7
2021-06-01,116.5
2021-07-01,122.5
2021-08-01,124.2
2021-09-01,127.3
2021-10-01,132.4
2021-11-01,132.4
2021-12-01,132.8
2022-01-01,138.7
2022-02-01,137.1
2022-03-01,141.6
2022-04-01,142.9
2022-05-01,142.6
2022-06-01,144.8
2022-07-01,144.5
2022-08-01,144.0
2022-09-01,143.8
2022-10-01,143.6
2022-11-01,142.9
2022-12-01,143.9
2023-01-01,143.3
2023-02-01,142.5
2023-03-01,139.5
2023-04-01,139.9
2023-05-01,140.3
2023-06-01,139.0
2023-07-01,140.8
2023-08-01,142.0
2023-09-01,141.3
2023-10-01,140.4
2023-11-01,139.4
2023-12-01,139.2
2024-01-01,139.4
2024-02-01,139.0
2024-03-01,139.2
2024-04-01,139.5
2024-05-01,139.2
2024-06-01,138.5
2024-07-01,139.6
2024-08-01,139.8
2024-09-01,138.7
2024-10-01,139.5
2024-11-01,139.3
2024-12-01,140.1
2025-01-01,140.7
2025-02-01,140.4
2025-03-01,141.7
2025-04-01,142.4
2025-05-01,141.3
