Reference period,Value
2020-01-01,100.0
2020-02-01,100.1
2020-03-01,104.6
2020-04-01,103.1
2020-05-01,104.0
2020-06-01,105.9
2020-07-01,110.9
2020-08-01,128.1
2020-09-01,126.0
2020-10-01,123.2
2020-11-01,122.0
2020-12-01,123.2
2021-01-01,125.8
2021-02-01,128.2
2021-03-01,125.2
2021-04-01,126.2
2021-05-01,132.0
2021-06-01,134.4
2021-07-01,134.7
2021-08-01,127.9
2021-09-01,127.4
2021-10-01,126.3
2021-11-01,130.5
2021-12-01,128.9
2022-01-01,130.7
2022-02-01,136.2
2022-03-01,150.8
2022-04-01,148.7
2022-05-01,140.7
2022-06-01,135.7
2022-07-01,124.4
2022-08-01,126.6
2022-09-01,122.4
2022-10-01,123.1
2022-11-01,127.0
2022-12-01,135.7
2023-01-01,137.4
2023-02-01,137.8
2023-03-01,141.3
2023-04-01,145.4
2023-05-01,141.3
2023-06-01,133.5
2023-07-01,131.5
2023-08-01,132.7
2023-09-01,132.9
2023-10-01,131.0
2023-11-01,135.8
2023-12-01,135.8
2024-01-01,136.7
2024-02-01,135.9
2024-03-01,138.5
2024-04-01,148.2
2024-05-01,154.7
2024-06-01,149.8
2024-07-01,150.2
2024-08-01,146.7
2024-09-01,148.2
2024-10-01,158.7
2024-11-01,159.6
2024-12-01,162.0
2025-01-01,165.6
2025-02-01,175.0
2025-03-01,179.8
2025-04-01,175.9
2025-05-01,179.2
